,useridentifier,headers.x-session-id,id,event,timestamp,feed
335,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/fn/nop,screen_view_hp,2021-05-19 20:33:56.729,"{'screen_name': 'hp', 'filters': 'page~0'}"
349,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/fn/nop,screen_view_cp,2021-05-19 20:33:56.473,"{'screen_name': 'cp', 'filters': ''}"
1500,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/,,2021-05-19 20:33:55.803,
3675,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56MHI4c2FlanpvZA==,/designer-cases/oneplus/oneplus-7-pto,,2021-05-20 07:30:35.443,
20435,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lMW1yM2lkYnd6Nw==,/dailyobjects-tezy-lazy-stride-case-cover-for-iphone-12-pro/dp,,2021-05-20 05:37:29.443,
23395,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/,,2021-05-20 03:46:44.373,
23413,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/osp,,2021-05-20 03:47:03.310,
23433,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,screen_view_dp,2021-05-20 03:47:01.345,"{'screen_name': 'dp', 'filters': 'pid~SKPR-SL-KHAK-BEGE-DOB-MED'}"
23613,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,view_item,2021-05-20 03:46:59.108,"{'currency': 'INR', 'value': 1799, 'items': [[{'key': 'item_id', 'value': 'SKPR-SL-KHAK-BEGE-DOB-MED', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Khaki Beige Skipper Sleeve Medium For MacBook Air/Pro 33.02cm (13\\in.)', 'type': 'STRING'}, {'key': 'item_category', 'value': '1103', 'type': 'STRING'}, {'key': 'price', 'value': 1799, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
23992,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,screen_view_cp,2021-05-20 03:46:52.826,"{'screen_name': 'cp', 'filters': ''}"
24142,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/navigation/cart/update,,2021-05-20 03:47:00.837,
27479,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC40MzR1dWp2NjYzMw==,/dailyobjects-stride-red-clear-case-cover-for-iphone-12/dp,,2021-05-20 05:41:21.929,
57267,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_osp,2021-05-20 08:56:22.027,"{'screen_name': 'osp', 'filters': ''}"
57471,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/map,,2021-05-20 08:56:24.341,
57472,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_aap,2021-05-20 08:56:24.504,"{'screen_name': 'aap', 'filters': 'aid~60a22d6449dc60039753e509,referer~osp'}"
59382,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/osp,,2021-05-20 09:00:19.434,
59383,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_cp,2021-05-20 09:00:19.656,"{'screen_name': 'cp', 'filters': ''}"
59671,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/dailyobjects-stride-red-clear-case-cover-for-iphone-12/dp,,2021-05-20 09:00:13.961,
64030,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5mdmxxeHlyMHpnYw==,/fn/nop,view_item,2021-05-20 05:56:26.468,"{'currency': 'INR', 'value': 1499, 'items': [[{'key': 'item_id', 'value': 'SCRLT-RED-CRDSAFD-PHN-WALT', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Scarlet Red CardSafe Leather Phone Wallet', 'type': 'STRING'}, {'key': 'item_category', 'value': '1805', 'type': 'STRING'}, {'key': 'price', 'value': 1499, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
67890,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/navigation/cart/update,,2021-05-19 20:12:08.772,
67984,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/bp,,2021-05-19 20:12:10.240,
67985,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/,,2021-05-19 20:12:10.240,
