,useridentifier,headers.x-session-id,id,event,timestamp,feed
126,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/fn/nop,screen_view_hp,2021-05-20 10:30:06.043,"{'screen_name': 'hp', 'filters': 'page~0'}"
148,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC52YnY3cG92NG1o,/designer-cases/samsung/galaxy-note-20,,2021-05-20 08:30:26.112,
248,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/fn/nop,screen_view_cp,2021-05-20 10:30:05.223,"{'screen_name': 'cp', 'filters': ''}"
449,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/samsung/galaxy-s20-fe-cases/lp,,2021-05-20 14:30:53.557,
455,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5xb3JieXhhd2Rl,/fn/,,2021-05-20 08:30:31.121,
558,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/,,2021-05-20 10:30:04.670,
848,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/mobile-cases/rfp,,2021-05-20 04:32:31.482,
849,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/fn/nop,screen_view_rfp,2021-05-20 04:32:31.744,"{'screen_name': 'rfp', 'filters': 'cid~1101,rf~brand'}"
852,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/mobile-cases/rfp,,2021-05-20 04:32:32.740,
1159,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5lN3BtcmVva3oy,/fn/nop,screen_view_cp,2021-05-20 08:30:46.999,"{'screen_name': 'cp', 'filters': ''}"
1253,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC52YnY3cG92NG1o,/samsung/galaxy-note-20-cases/lp,,2021-05-20 08:30:27.143,
1384,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5xb3JieXhhd2Rl,/oneplus/oneplus-7t-pro-cases/lp,,2021-05-20 08:30:30.784,
1635,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4zMXMzNjMxOWI3dQ==,/designer-cases/samsung/galaxy-j7-2018,,2021-05-20 08:30:57.668,
1657,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4zMXMzNjMxOWI3dQ==,/samsung/galaxy-j7-2018-cases/lp,,2021-05-20 08:30:59.684,
1931,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/,,2021-05-20 14:31:18.754,
1934,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC40ZWRzb2pmNTI2cw==,/fn/nop,screen_view_cp,2021-05-20 08:30:55.074,"{'screen_name': 'cp', 'filters': ''}"
1976,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5lN3BtcmVva3oy,/samsung/galaxy-a7-2018-cases/lp,,2021-05-20 08:30:47.824,
